Season,Year,Week,Surveillance week,Reporting Laboratory,SARS-CoV-2 Tested,SARS-CoV-2 Positive,Flu Tested,A(H1)pdm09 Positive,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Tested,RSV Positive,HPIV Tested,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Tested,ADV Positive,HMPV Tested,HMPV Positive,EV/RV Tested,EV/RV Positive,HCoV Tested,HCoV Positive
2023-2024,2024,23,40,Newfoundland,25911,3589,19630,0,0,1363,1363,187,19630,1063,19630,31,95,432,116,0,19630,324,19630,529,19630,1844,19630,574
2023-2024,2024,23,40,Prince Edward Island,8528,846,5734,0,0,542,542,239,5734,376,674,4,1,43,9,0,673,44,663,30,674,188,658,35
2023-2024,2024,23,40,Nova Scotia,56416,9244,42399,0,0,2925,2925,690,34977,1495,1392,16,3,22,10,0,1392,47,1385,21,1392,257,1391,34
2023-2024,2024,23,40,New Brunswick,42456,4186,40274,925,29,1907,2861,1058,39870,1934,3839,11,8,136,35,0,3839,135,3839,120,3839,763,3839,153
2023-2024,2024,23,40,Atlantic,133311,17865,108037,925,29,6737,7691,2174,100211,4868,25535,62,107,633,170,0,25534,550,25517,700,25535,3052,25518,796
2023-2024,2024,23,40,Région Nord-Est,64093,7547,59566,5,0,4747,4752,1716,25031,1570,3381,17,12,109,19,0,3381,141,3293,152,N.C.,N.C.,3381,152
2023-2024,2024,23,40,Québec-Chaudière-Appalaches,74241,10187,55956,0,0,5627,5627,2103,53647,3002,21943,22,9,134,16,0,22585,653,21942,825,N.C.,N.C.,17915,651
2023-2024,2024,23,40,Centre-du-Québec,92014,13047,52571,0,0,4647,4647,1445,29352,1763,1428,15,8,44,7,0,1427,69,1428,63,N.C.,N.C.,1462,56
2023-2024,2024,23,40,Montréal-Laval,107180,14444,97082,5,2,6813,6820,1396,61884,3118,34029,98,52,690,28,0,34029,680,34115,987,N.C.,N.C.,34029,1140
2023-2024,2024,23,40,Ouest du Québec,59328,10331,27404,4,0,2149,2153,527,27146,1159,797,11,4,38,7,0,797,65,797,38,N.C.,N.C.,797,30
2023-2024,2024,23,40,Montérégie,58877,8430,51859,0,0,3297,3297,599,50765,2015,273,1,0,4,2,0,273,8,273,5,N.C.,N.C.,273,3
2023-2024,2024,23,40,Province of Québec,455733,63986,344438,14,2,27280,27296,7786,247825,12627,61851,164,85,1019,79,0,62492,1616,61848,2070,N.C.,N.C.,57857,2032
2023-2024,2024,23,40,P.H.O.L. - Ottawa,12378,4086,8879,301,56,199,430,51,8873,158,5425,0,0,0,0,205,5425,14,5423,181,5425,481,5423,329
2023-2024,2024,23,40,EORLA,46389,4798,22680,0,0,1641,1641,494,22680,1164,1600,3,5,42,5,0,1575,16,1600,44,1600,289,1600,51
2023-2024,2024,23,40,P.H.O.L. - Kingston,8758,2386,5177,151,20,97,229,8,5165,168,3533,0,0,0,0,119,3533,12,3533,72,3533,392,3533,180
2023-2024,2024,23,40,UHN / Mount Sinai Hospital,42411,3381,27232,42,10,584,636,97,27232,243,2172,0,0,40,3,0,2172,3,2172,28,2172,104,2172,67
2023-2024,2024,23,40,P.H.O.L. - Toronto,21476,5956,41867,1230,945,368,1869,281,41842,1059,38627,0,0,0,0,1863,38636,463,38610,1168,38627,3691,38610,2061
2023-2024,2024,23,40,Sick Kids Hospital - Toronto,4725,328,4330,106,102,20,228,88,4330,314,4330,16,12,121,22,0,4330,117,4330,137,4330,876,4330,142
2023-2024,2024,23,40,Shared Hospital Laboratory,66919,5044,55339,886,544,298,1728,499,55348,1354,55080,0,0,0,0,428,49426,396,55177,402,55195,1872,55198,583
2023-2024,2024,23,40,P.H.O.L. - Sault Ste. Marie,643,281,797,55,3,17,69,3,795,46,527,0,0,0,0,24,527,2,527,1,527,31,527,48
2023-2024,2024,23,40,P.H.O.L. - Timmins,1358,347,1447,67,11,39,105,16,1440,68,1157,0,0,0,0,52,1157,9,1157,33,1157,79,1157,59
2023-2024,2024,23,40,St. Joseph's - London,32533,3667,18516,0,0,1003,1003,278,18502,742,2679,0,0,0,0,67,2698,48,2698,68,2700,315,2698,84
2023-2024,2024,23,40,P.H.O.L. - London,16857,4474,13059,504,149,172,631,124,13055,481,10648,0,0,0,0,480,10648,53,10643,286,10648,932,10643,456
2023-2024,2024,23,40,P.H.O.L. - Orillia,682,174,1327,73,17,11,101,1,1323,74,1251,0,0,0,0,34,1251,16,1251,24,1251,147,1251,27
2023-2024,2024,23,40,P.H.O.L. - Thunder Bay,2208,598,1481,64,4,10,48,15,1462,35,1227,0,0,0,0,39,1227,8,1227,37,1227,79,1227,36
2023-2024,2024,23,40,P.H.O.L. - Sudbury,856,243,1047,45,1,23,69,2,1043,26,760,0,0,0,0,41,761,2,760,18,760,65,760,70
2023-2024,2024,23,40,P.H.O.L. - Hamilton,7342,2143,6272,167,76,99,265,43,6253,172,4777,0,0,0,0,161,4777,98,4776,139,4777,628,4776,223
2023-2024,2024,23,40,P.H.O.L. - Peterborough,2880,744,3109,214,206,76,162,38,3096,227,2318,0,0,0,0,124,2318,48,2318,70,2318,361,2318,77
2023-2024,2024,23,40,St. Joseph's - Hamilton,73710,6308,66465,0,0,3318,3318,999,66465,1817,66465,0,0,1055,0,0,66465,414,66465,1066,66465,3981,0,0
2023-2024,2024,23,40,Sault Area Hospital,6893,937,4855,185,26,56,267,25,4848,205,3879,31,1,61,17,0,3830,44,3830,91,3830,337,3840,79
2023-2024,2024,23,40,Province of Ontario,349018,45895,283879,4090,2170,8031,12799,3062,283752,8353,206455,50,18,1319,47,3637,200756,1763,206497,3865,206542,14660,140063,4572
2023-2024,2024,23,40,Manitoba,61842,8109,46844,147,16,1929,2092,763,46844,1425,3795,6,11,97,46,0,3795,141,4623,176,3795,685,4623,159
2023-2024,2024,23,40,Saskatchewan,77488,7997,54665,150,29,5443,5622,2267,48458,1774,18151,38,9,402,31,0,18151,320,18151,848,18151,1838,18151,560
2023-2024,2024,23,40,Alberta,208230,22569,184211,11896,907,597,13470,4923,172444,6421,51869,181,100,1213,5,0,51856,563,49579,51,51047,4817,51868,1491
2023-2024,2024,23,40,Prairies,347560,38675,285720,12193,952,7969,21184,7953,267746,9620,73815,225,120,1712,82,0,73802,1024,72353,1075,72993,7340,74642,2210
2023-2024,2024,23,40,British Columbia,148982,19244,151930,4255,935,283,9360,1652,148498,6096,36494,135,203,913,229,0,36496,1079,36381,1451,35141,5312,35118,1072
2023-2024,2024,23,40,Yukon,2060,199,1360,37,17,0,66,33,1351,48,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
2023-2024,2024,23,40,Northwest Territories,1394,82,1331,167,7,1,175,67,1331,176,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,1132,47,1132,12,1332,178,N.C.,N.C.
2023-2024,2024,23,40,Nunavut,5977,502,4505,433,34,53,520,265,4505,566,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
2023-2024,2024,23,40,Territories,9431,783,7196,637,58,54,761,365,7187,790,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,1132,47,1132,12,1332,178,N.C.,N.C.
2023-2024,2024,23,40,CANADA,1444035,186448,1181200,22114,4146,50354,79091,22992,1055219,42354,404150,636,533,5596,607,3637,400212,6079,403728,9173,341543,30542,333198,10682
2023-2024,2024,22,39,Newfoundland,700,85,621,0,0,3,3,8,621,16,621,1,3,49,1,0,621,8,621,17,621,93,621,10
2023-2024,2024,22,39,Prince Edward Island,113,7,68,0,0,0,0,0,68,0,13,0,1,0,0,0,13,0,13,1,13,7,13,0
2023-2024,2024,22,39,Nova Scotia,950,67,877,0,0,0,0,4,789,4,29,0,0,1,0,0,29,0,29,1,29,5,29,1
2023-2024,2024,22,39,New Brunswick,814,31,800,1,1,0,2,10,800,4,117,0,3,10,0,0,117,2,117,2,117,17,117,3
2023-2024,2024,22,39,Atlantic,2577,190,2366,1,1,3,5,22,2278,24,780,1,7,60,1,0,780,10,780,21,780,122,780,14
2023-2024,2024,22,39,Région Nord-Est,881,71,835,0,0,5,5,19,448,4,101,0,0,11,0,0,101,1,101,6,N.C.,N.C.,101,0
2023-2024,2024,22,39,Québec-Chaudière-Appalaches,1147,124,1217,0,0,1,1,4,1161,22,530,0,0,14,0,0,541,13,530,27,N.C.,N.C.,411,6
2023-2024,2024,22,39,Centre-du-Québec,1251,93,1153,0,0,1,1,8,584,9,26,0,0,2,0,0,26,3,26,2,N.C.,N.C.,27,1
2023-2024,2024,22,39,Montréal-Laval,1245,81,1174,0,0,3,3,15,941,11,694,0,1,34,0,0,694,9,695,24,N.C.,N.C.,694,10
2023-2024,2024,22,39,Ouest du Québec,696,52,438,0,0,3,3,9,434,2,33,0,0,0,0,0,33,4,33,2,N.C.,N.C.,33,0
2023-2024,2024,22,39,Montérégie,796,71,920,0,0,2,2,6,916,12,3,0,0,0,0,0,3,0,3,0,N.C.,N.C.,3,0
2023-2024,2024,22,39,Province of Québec,6016,492,5737,0,0,15,15,61,4484,60,1387,0,1,61,0,0,1398,30,1388,61,N.C.,N.C.,1269,17
2023-2024,2024,22,39,P.H.O.L. - Ottawa,141,42,88,0,0,0,0,2,88,0,63,0,0,0,0,11,63,0,63,2,63,4,63,0
2023-2024,2024,22,39,EORLA,635,29,355,0,0,0,0,0,355,4,34,0,0,0,0,0,34,0,34,1,34,8,34,1
2023-2024,2024,22,39,P.H.O.L. - Kingston,108,36,113,0,0,0,0,0,113,0,86,0,0,0,0,5,86,0,86,5,86,10,86,2
2023-2024,2024,22,39,UHN / Mount Sinai Hospital,849,42,567,0,0,2,2,0,567,1,77,0,0,1,0,0,77,0,77,1,77,4,77,0
2023-2024,2024,22,39,P.H.O.L. - Toronto,247,69,708,6,6,0,6,1,707,0,683,0,0,0,0,62,683,14,683,34,683,85,683,17
2023-2024,2024,22,39,Sick Kids Hospital - Toronto,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
2023-2024,2024,22,39,Shared Hospital Laboratory,1213,36,936,1,1,0,2,3,936,2,940,0,0,0,0,9,940,4,943,10,943,51,943,3
2023-2024,2024,22,39,P.H.O.L. - Sault Ste. Marie,8,0,18,0,0,0,0,0,18,0,15,0,0,0,0,2,15,1,15,0,15,0,15,0
2023-2024,2024,22,39,P.H.O.L. - Timmins,26,9,29,0,0,0,0,0,29,0,23,0,0,0,0,0,23,0,23,3,23,5,23,0
2023-2024,2024,22,39,St. Joseph's - London,373,7,211,0,0,0,0,0,211,0,64,0,0,0,0,5,64,0,64,0,64,3,64,0
2023-2024,2024,22,39,P.H.O.L. - London,250,35,240,0,0,0,0,1,240,0,218,0,0,0,0,32,218,0,218,11,218,29,218,5
2023-2024,2024,22,39,P.H.O.L. - Orillia,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,3,0,3,0
2023-2024,2024,22,39,P.H.O.L. - Thunder Bay,37,7,30,0,0,0,0,0,30,0,26,0,0,0,0,2,26,0,26,0,26,3,26,0
