Province,2022,2023,2024,2025
Canada,"39,284,491","40,467,722","41,494,132","41,575,585"
Newfoundland and Labrador,"533,194","541,126","548,402","549,738"
Prince Edward Island,"168,939","176,173","180,877","182,508"
Nova Scotia,"1,033,146","1,062,825","1,088,273","1,091,857"
New Brunswick,"816,420","840,130","863,841","868,630"
Quebec,"8,718,914","8,882,501","9,038,268","9,058,089"
Ontario,"15,305,369","15,823,956","16,228,152","16,191,372"
Manitoba,"1,424,475","1,462,439","1,500,464","1,507,057"
Saskatchewan,"1,188,295","1,222,152","1,256,983","1,266,234"
Alberta,"4,560,275","4,752,173","4,957,075","5,040,871"
British Columbia,"5,406,059","5,572,694","5,696,852","5,683,201"
Yukon,"44,169","45,898","47,939","48,261"
Northwest Territories,"44,559","44,566","45,520","45,848"
Nunavut,"40,677","41,089","41,486","41,919"
